"CAS","DTXSID","PREFERRED_NAME","element_metal","C..Z..C.Q","C..O.N","C..O.O","bond.C.O","CC..O.C","CN_amine","COC","COH_alcohol","CX_halide","P.O","quatN","S..O.N","S..O.O","S..O.X","bond.X","bond.metal","alkaneBranch","alkaneCyclic","chain.alkaneLinear","alkeneLinear","aromaticAlkane","oxy.alkaneLinear","ligand","ring.hetero","bond.C.N","CS","N..C.","NC.O","OZ_oxide","PC","QQ.Q.O_S","S.O","alkeneBranch","ring.aromatic","S.N"
"31253-34-6","DTXSID80382093","2-Aminohexafluoropropan-2-ol","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"13252-13-6","DTXSID70880215","Perfluoro-2-methyl-3-oxahexanoic acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"3871-99-6","DTXSID3037709","Potassium perfluorohexanesulfonate","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"423-54-1","DTXSID60195123","Perfluorooctanamide","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
"863090-89-5","DTXSID60500450","Perfluoro(4-methoxybutanoic) acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"647-42-7","DTXSID5044572","6:2 Fluorotelomer alcohol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"422-63-9","DTXSID9059969","1H-Perfluoro-1,1-propanediol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"335-95-5","DTXSID40880025","Sodium perfluorooctanoate","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"663-35-4","DTXSID20880144","Ethyl pentafluoropropionyl acetate","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"1765-92-0","DTXSID10379254","1H,1H-Heptafluorobutyl epoxide","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"1682-31-1","DTXSID9061881","1-Iodo-1H,1H,2H,2H-perfluoroheptane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"3792-02-7","DTXSID60377821","4:4 Fluorotelomer alcohol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-88-2","DTXSID9059919","1-Bromopentadecafluoroheptane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"754-91-6","DTXSID3038939","Perfluorooctanesulfonamide","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,1,0,0,1
"21652-58-4","DTXSID7074616","1H,1H,2H-Perfluoro-1-decene","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"678-39-7","DTXSID7029904","8:2 Fluorotelomer alcohol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"338-83-0","DTXSID9059834","Perfluamine","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2058-94-8","DTXSID8047553","Perfluoroundecanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"354-76-7","DTXSID0059871","Pentafluoropropionamide","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
"133331-77-8","DTXSID20440585","1-(Perfluorohexyl)octane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"52591-27-2","DTXSID1068772","2-(Perfluorobutyl)ethyl acrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"85857-17-6","DTXSID40235137","Dimethoxymethyl((perfluorohexyl)ethyl)silane","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2043-47-2","DTXSID1062122","4:2 Fluorotelomer alcohol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"51851-37-7","DTXSID1074915","Triethoxy((perfluorohexyl)ethyl)silane","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"79963-95-4","DTXSID60380390","2,2,2-Trifluoroethyl perfluorobutanesulfonate","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"376-06-7","DTXSID3059921","Perfluorotetradecanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"38565-52-5","DTXSID30880413","3-(Perfluorohexyl)-1,2-epoxypropane","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"559-94-4","DTXSID7060332","(Perfluorobutyryl)-2-thenoylmethane","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0
"58244-27-2","DTXSID30395037","tris(Trifluoroethoxy)methane","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"679-02-7","DTXSID60379269","3-(Perfluoropropyl)propanol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"78560-45-9","DTXSID50229163","Trichloro((perfluorohexyl)ethyl)silane","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"1765-48-6","DTXSID5061954","11-H-Perfluoroundecanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"15290-77-4","DTXSID50880218","1H,1H,2H-Perfluorocyclopentane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
