"","chemical_id","chemical_name","CASRN","DTXSID","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10","Background","Excitatory","Refractory","Light","Dark","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile","Background_new","Excitatory_new","Refractory_new","Light_new","Dark_new"
"89",4406,"1-Iodo-1H,1H,2H,2H-perfluoroheptane","1682-31-1","DTXSID9061881","fluorotelomer halide",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.996,"-",3.89831,5.03567,"3.1549999999999998","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"90",4407,"4:4 Fluorotelomer alcohol","3792-02-7","DTXSID60377821","fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.145,"-",4.25922,4.0747,"0.99770000000000003","0.0036475399999999999",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"91",4408,"1-Bromopentadecafluoroheptane","375-88-2","DTXSID9059919","perfluoroalkyl halide",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,448.957,"-",2.69873,4.39443,"7.7446200000000003","0.000376704",NA,0.046,"GC","Volatile",NA,NA,NA,0.046,NA
"92",4410,"Perfluamine","338-83-0","DTXSID9059834","perfluoroalkyl amine",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.072,"-",1.56802,4.20221,"18.535299999999999","0.00091201100000000001",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"93",4411,"Pentafluoropropionamide","354-76-7","DTXSID0059871","perfluoroalkyl amide",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,NA,163.047,"-",4.07818,0.817762,"7.3451399999999998","-",66.5,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"94",4412,"1-(Perfluorohexyl)octane","133331-77-8","DTXSID20440585","fluorotelomer",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,432.269,NA,4.61,8.32,"0.028899999999999999",NA,100,NA,"GC","Volatile",100,100,NA,NA,NA
"95",4413,"2-(Perfluorobutyl)ethyl acrylate","52591-27-2","DTXSID1068772","fluorotelomer acrylate",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.139,"-",3.59248,2.53939,"0.94406100000000004","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"96",4414,"Dimethoxymethyl((perfluorohexyl)ethyl)silane","85857-17-6","DTXSID40235137","fluorotelomer silane",6,NA,NA,NA,77.9189674375436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.287,"-",3.76352,8.24175,"1.30017","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"97",4415,"Triethoxy((perfluorohexyl)ethyl)silane","51851-37-7","DTXSID1074915","fluorotelomer silane",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,510.367,"-",5.50424,4.83633,"0.320627","-",NA,1.23,"GC","Volatile",NA,NA,NA,NA,NA
"98",4416,"2,2,2-Trifluoroethyl perfluorobutanesulfonate","79963-95-4","DTXSID60380390","perfluoroalkylsulfonate ethyl ester",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.12,"-",2.18894,1.85182,"0.90573300000000001","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"99",4417,"3-(Perfluorohexyl)-1,2-epoxypropane","38565-52-5","DTXSID30880413","fluorotelomer epoxide",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.117,NA,3.09,5.13,"16.899999999999999",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"100",4418,"(Perfluorobutyryl)-2-thenoylmethane","559-94-4","DTXSID7060332","perfluoroalkyl thenoyl",3,NA,NA,NA,NA,73.0959975369657,73.0959975369657,46.4317020583238,70.7546697426726,NA,NA,NA,NA,73.0959975369657,54.3205226955239,NA,NA,NA,NA,NA,322.2,"-",5.74473,4.0499,"0.0014791100000000001","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"101",4419,"tris(Trifluoroethoxy)methane","58244-27-2","DTXSID30395037","perfluoroethoxy methane",3,96.2567162912725,NA,NA,96.2567162912725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,310.116,NA,2.57,4.32,"2.5499999999999998",NA,NA,0.046,"GC","Volatile",NA,NA,NA,0.046,NA
"102",4420,"3-(Perfluoropropyl)propanol","679-02-7","DTXSID60379269","fluorotelomer alcohol",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.11,"-",4.08394,2.64427,"3.7068099999999999","0.018793199999999999",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"103",4421,"Trichloro((perfluorohexyl)ethyl)silane","78560-45-9","DTXSID50229163","fluorotelomer silane",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.53,"-",3.93339,6.49158,"0.44055499999999997","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
