"","chemical_id","chemical_name","CASRN","DTXSID","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10","Background","Excitatory","Refractory","Light","Dark","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile","Background_new","Excitatory_new","Refractory_new","Light_new","Dark_new"
"53",4369,"N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide","1691-99-2","DTXSID6027426","perfluoroalkyl sulfonamide",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.25,"-",7.50346,4.369,"0.079615900000000003","0.00056493699999999995",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"54",4370,"3,3-Bis(trifluoromethyl)-2-propenoic acid","1763-28-6","DTXSID30170109","perfluoroalkyl carboxylic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,208.059,"-",3.67748,2.83906,"12.0504","-",NA,66.5,"GC","Volatile",NA,NA,NA,NA,NA
"55",4371,"4H-Perfluorobutanoic acid","679-12-9","DTXSID50892417","perfluoroalkyl carboxylic acid",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.048,NA,3.73,1.91,"1.95",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"56",4372,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol","147492-57-7","DTXSID40380797","perfluoroalkylether",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,398.076,"-",4.09586,2.78619,"0.206063","0.00053088400000000002",NA,3.7,"GC","Volatile",NA,NA,NA,NA,3.7
"57",4373,"Perfluoro-3,6,9-trioxatridecanoic acid","330562-41-9","DTXSID50375114","perfluoroalkylether carboxylic acid",9,96.9771732768954,NA,NA,12.4784055573877,42.7870767220842,NA,65.2313901399703,NA,NA,NA,NA,NA,54.7226522216175,9.77579825795999,NA,NA,NA,33.3,NA,562.083,"-",4.76804,4.17623,"0.0084722700000000005","0.00086496800000000003",NA,33.3,"LC","Non-Volatile",NA,NA,NA,100,66.5
"58",4374,"1-Iodopentadecafluoroheptane","335-58-0","DTXSID5059828","perfluoroalkyl halide",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.958,"-",3.27031,3.95883,"6.2517300000000002","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"59",4375,"1H-Perfluoro-1,1-propanediol","422-63-9","DTXSID9059969","perfluoroalkyl alcohol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.047,"-",6.34073,1.00279,"4.9317399999999996","0.00918333",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"60",4376,"4:2 Fluorotelomer alcohol","2043-47-2","DTXSID1062122","fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.091,"-",3.81732,3.22652,"6.2086899999999998","0.017823800000000001",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"61",4377,"8:2 Fluorotelomer sulfonic acid","39108-34-4","DTXSID00192353","fluorotelomer sulfonic acid",8,72.4200031248957,8.7490367185988,NA,59.1434819258531,86.0704629033614,NA,NA,NA,99.152309310122,NA,NA,NA,99.152309310122,55.6797799126319,NA,NA,NA,NA,NA,528.18,"-",6.2216,4.56981,"-","-",NA,NA,"LC","Non-Volatile",NA,66.5,NA,NA,NA
"62",4378,"1H,1H-Perfluorooctyl acrylate","307-98-2","DTXSID5059799","fluorotelomer acrylate",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,0.046,NA,454.135,"-",3.47163,4.18815,"0.65162799999999999","-",33.3,0.046,"GC","Volatile",NA,33.3,NA,0.046,NA
"63",4379,"Perfluorobutanesulfonic acid","375-73-5","DTXSID5030030","perfluoroalkyl sulfonic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.09,"-",4.16449,0.731618,"0.20796999999999999","0.0034753599999999998",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"64",4380,"6:2 Fluorotelomer phosphate monoester","57678-01-0","DTXSID90558000","fluorotelomer phosphate monoester",6,54.8704721214399,74.1538470458912,NA,46.8219699110066,NA,97.6993512398146,NA,NA,NA,NA,NA,NA,NA,72.2017379779119,NA,NA,NA,NA,NA,444.085,NA,7.84,3.46,"0.00052099999999999998",NA,NA,NA,"LC","Non-Volatile",NA,100,NA,33.3,33.3
"65",4381,"Methyl 3H-perfluoroisopropyl ether","568550-25-4","DTXSID70537191","perfluoroalkylether",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.065,NA,1.57,2,"369",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"66",4382,"Potassium perfluorooctanoate","2395-00-8","DTXSID00880026","perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.16,NA,4.16,5.58,"0.192",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"67",4383,"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate","424-16-8","DTXSID30340244","fluorotelomer benzenesulfonate",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,486.27,"-",6.72785,5.74022,"0.018280999999999999","-",66.5,NA,"GC","Volatile",NA,66.5,NA,NA,NA
"68",4384,"3-(Perfluorooctyl)propanol","1651-41-8","DTXSID10379991","fluorotelomer alcohol",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.149,"-",4.77184,4.90718,"0.17782800000000001","0.00056234099999999995",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"69",4385,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","129301-42-4","DTXSID70381090","perfluoroalkylether",4,NA,NA,NA,98.1335755269033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,294.097,"-",6.9832,2.132,"1.0839300000000001","0.0060673599999999999",NA,33.3,"GC","Volatile",NA,NA,NA,NA,33.3
"70",4386,"1H,1H,7H-Dodecafluoro-1-heptanol","335-99-9","DTXSID9059832","fluorotelomer alcohol",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.089,"-",4.09017,3.34394,"2.2856000000000001","0.00081846499999999999",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"71",4387,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid","55621-21-1","DTXSID20375106","perfluoroalkylether carboxylic acid",4,NA,96.2641737052531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.063,"-",7.20592,2.34691,"0.0093110799999999994","0.0018197000000000001",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"72",4388,"1H,1H,5H-Perfluoropentanol","355-80-6","DTXSID0059879","fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.073,"-",3.66512,2.39868,"13.9316","0.0093325400000000003",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"73",4390,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid","65294-16-8","DTXSID70276659","perfluoroalkylether acid methyl ester",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,662.098,"-",4.3473,4.69102,"-","-",NA,3.7,"LC","Non-Volatile",NA,NA,NA,NA,NA
"74",4391,"Potassium perfluorobutanesulfonate","29420-49-3","DTXSID3037707","perfluoroalkyl sulfonic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.18,"1/666",4.16449,0.731618,"0.20796999999999999","0.0029107199999999999",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"75",4392,"3-(Perfluoro-2-butyl)propane-1,2-diol","125070-38-4","DTXSID10382147","fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.117,"-",6.97184,2.70226,"-","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"76",4393,"Methyl 2H,2H,3H,3H-perfluoroheptanoate","132424-36-3","DTXSID50441560","fluorotelomer acid methyl ester",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,306.128,NA,3.17,3.64,"8.9600000000000009",NA,NA,11.1,"GC","Volatile",NA,3.7,NA,11.1,NA
"77",4394,"1H,1H,11H,11H-Perfluorotetraethylene glycol","330562-44-2","DTXSID00380798","perfluoroalkylether",6,52.6586906389195,27.5423236499198,NA,30.3300900772278,9.68570861288675,29.9257300098692,9.68570861288675,29.9257300098692,70.0304985849068,29.8458251816434,NA,NA,28.8533458642228,10.5269279916335,NA,NA,NA,NA,NA,410.112,"-",7.3784,2.62232,"0.0320627","0.00072778000000000003",NA,NA,"GC","Volatile",66.5,33.3,NA,66.5,66.5
"78",4395,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate","3934-23-4","DTXSID5063235","fluorotelomer methacrylate",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.162,"-",3.95997,3.74473,"0.53456400000000004","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"79",4396,"1H,1H,8H,8H-Perfluorooctane-1,8-diol","90177-96-1","DTXSID30396867","perfluoroalkyl alcohol",6,NA,NA,NA,NA,82.6427283076767,NA,82.6427283076767,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,100,11.1,362.115,NA,7.17,3.17,"0.11799999999999999",NA,66.5,11.1,"GC","Volatile",NA,66.5,NA,100,66.5
"80",4397,"Perfluorooctanesulfonamido ammonium iodide","1652-63-7","DTXSID8051419","perfluoroalkylsulfonamido ammonium halide",8,97.4737339232855,79.3094657944787,NA,89.2247753742458,63.9360557160228,86.0606899775723,66.6716048929068,NA,NA,NA,NA,NA,91.4918124799806,73.9993617377676,NA,NA,NA,NA,NA,726.23,"-",7.48041,3.59207,"-","-",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"81",4398,"Nonafluoropentanamide","13485-61-5","DTXSID60400587","perfluoroalkyl amide",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.063,NA,4.21,2.79,"4.96",NA,NA,NA,"LC","Non-Volatile",NA,NA,0.046,NA,NA
"82",4399,"2-Aminohexafluoropropan-2-ol","31253-34-6","DTXSID80382093","perfluoroalkyl amino alcohol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,1.23,183.053,"-",6.1372,1.07119,"17.864899999999999","-",NA,1.23,"GC","Volatile",NA,NA,NA,1.23,0.41
"83",4400,"Perfluoro-2-methyl-3-oxahexanoic acid","13252-13-6","DTXSID70880215","perfluoroalkylether carboxylic acid",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.053,NA,3.74,5.1,"0.26200000000000001",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"84",4401,"Perfluorooctanamide","423-54-1","DTXSID60195123","perfluoroalkyl amide",7,48.1719414052984,NA,NA,42.8184917437141,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4766593774986,NA,NA,NA,66.5,NA,413.086,"-",4.89674,3.22284,"0.16218099999999999","0.00089125100000000002",NA,66.5,"LC","Non-Volatile",NA,66.5,NA,100,100
"85",4402,"Perfluoro(4-methoxybutanoic) acid","863090-89-5","DTXSID60500450","perfluoroalkylether carboxylic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.046,NA,3.66,4.02,"1.75",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"86",4403,"6:2 Fluorotelomer alcohol","647-42-7","DTXSID5044572","fluorotelomer alcohol",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.106,"28/675",4.09578,4.24274,"2.1978599999999999","0.00042266899999999997",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"87",4404,"Ethyl pentafluoropropionyl acetate","663-35-4","DTXSID20880144","perfluorooxo ethyl ester",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.122,NA,4.02,2.76,"2.0899999999999999",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"88",4405,"1H,1H-Heptafluorobutyl epoxide","1765-92-0","DTXSID10379254","fluorotelomer epoxide",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.094,"-",2.25748,4.03585,"-","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
