"chemical_id","chemical_name","CASRN","DTXSID","Morph.BMD10.x","Background_BMD","Excitatory_BMD","Refractory_BMD","Light_BMD","Dark_BMD","EPR.BMD","LPR.BMD","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10.y","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile"
4370,"3,3-Bis(trifluoromethyl)-2-propenoic acid","1763-28-6","DTXSID30170109",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.059,"-",3.67748,2.83906,"12.0504","-",NA,66.5,"GC","Volatile"
4371,"4H-Perfluorobutanoic acid","679-12-9","DTXSID50892417",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.048,NA,3.73,1.91,"1.95",NA,NA,NA,"LC","Non-Volatile"
4372,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol","147492-57-7","DTXSID40380797",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.076,"-",4.09586,2.78619,"0.206063","0.000530884",NA,3.7,"GC","Volatile"
4373,"Perfluoro-3,6,9-trioxatridecanoic acid","330562-41-9","DTXSID50375114",9.775798258,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether carboxylic acid",9,96.97717328,NA,NA,12.47840556,42.78707672,NA,65.23139014,NA,NA,NA,NA,NA,54.72265222,9.775798258,562.083,"-",4.76804,4.17623,"0.00847227","0.000864968",NA,NA,"LC","Non-Volatile"
4374,"1-Iodopentadecafluoroheptane","335-58-0","DTXSID5059828",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl halide",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.958,"-",3.27031,3.95883,"6.25173","-",NA,NA,"GC","Volatile"
4375,"1H-Perfluoro-1,1-propanediol","422-63-9","DTXSID9059969",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl alcohol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.047,"-",6.34073,1.00279,"4.93174","0.00918333",NA,NA,"GC","Volatile"
4376,"4:2 Fluorotelomer alcohol","2043-47-2","DTXSID1062122",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.091,"-",3.81732,3.22652,"6.20869","0.0178238",NA,NA,"GC","Volatile"
4377,"8:2 Fluorotelomer sulfonic acid","39108-34-4","DTXSID00192353",55.67977991,NA,25.54049159,NA,NA,NA,25.54049159,NA,"fluorotelomer sulfonic acid",8,72.42000312,8.749036719,NA,59.14348193,86.0704629,NA,NA,NA,99.15230931,NA,NA,NA,99.15230931,55.67977991,528.18,"-",6.2216,4.56981,"-","-",NA,NA,"LC","Non-Volatile"
4378,"1H,1H-Perfluorooctyl acrylate","307-98-2","DTXSID5059799",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer acrylate",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.135,"-",3.47163,4.18815,"0.651628","-",33.3,0.046,"GC","Volatile"
4379,"Perfluorobutanesulfonic acid","375-73-5","DTXSID5030030",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl sulfonic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.09,"-",4.16449,0.731618,"0.20797","0.00347536",NA,NA,"LC","Non-Volatile"
4380,"6:2 Fluorotelomer phosphate monoester","57678-01-0","DTXSID90558000",72.20173798,55.96362841,NA,NA,59.67339067,NA,55.96362841,NA,"fluorotelomer phosphate monoester",6,54.87047212,74.15384705,NA,46.82196991,NA,97.69935124,NA,NA,NA,NA,NA,NA,NA,72.20173798,444.085,NA,7.84,3.46,"0.000521",NA,NA,NA,"LC","Non-Volatile"
4381,"Methyl 3H-perfluoroisopropyl ether","568550-25-4","DTXSID70537191",NA,NA,NA,NA,63.30886193,52.44500408,NA,52.44500408,"perfluoroalkylether",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.065,NA,1.57,2,"369",NA,NA,NA,"GC","Volatile"
4382,"Potassium perfluorooctanoate","2395-00-8","DTXSID00880026",NA,NA,NA,NA,30.06245404,1.619634136,NA,1.619634136,"perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.16,NA,4.16,5.58,"0.192",NA,NA,NA,"LC","Non-Volatile"
4383,"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate","424-16-8","DTXSID30340244",NA,NA,2.160000049,NA,NA,1.436192957,2.160000049,NA,"fluorotelomer benzenesulfonate",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.27,"-",6.72785,5.74022,"0.018281","-",66.5,NA,"GC","Volatile"
4384,"3-(Perfluorooctyl)propanol","1651-41-8","DTXSID10379991",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.149,"-",4.77184,4.90718,"0.177828","0.000562341",NA,NA,"GC","Volatile"
4385,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","129301-42-4","DTXSID70381090",NA,NA,NA,NA,NA,1.485765044,NA,1.485765044,"perfluoroalkylether",4,NA,NA,NA,98.13357553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.097,"-",6.9832,2.132,"1.08393","0.00606736",NA,33.3,"GC","Volatile"
4386,"1H,1H,7H-Dodecafluoro-1-heptanol","335-99-9","DTXSID9059832",NA,NA,NA,NA,33.23150549,NA,NA,NA,"fluorotelomer alcohol",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.089,"-",4.09017,3.34394,"2.2856","0.000818465",NA,NA,"GC","Volatile"
4387,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid","55621-21-1","DTXSID20375106",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether carboxylic acid",4,NA,96.26417371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.063,"-",7.20592,2.34691,"0.00931108","0.0018197",NA,NA,"LC","Non-Volatile"
4388,"1H,1H,5H-Perfluoropentanol","355-80-6","DTXSID0059879",NA,NA,NA,NA,NA,NA,NA,NA,"fluorotelomer alcohol",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.073,"-",3.66512,2.39868,"13.9316","0.00933254",NA,NA,"GC","Volatile"
4390,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid","65294-16-8","DTXSID70276659",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkylether acid methyl ester",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.098,"-",4.3473,4.69102,"-","-",NA,3.7,"LC","Non-Volatile"
4391,"Potassium perfluorobutanesulfonate","29420-49-3","DTXSID3037707",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl sulfonic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.18,"1/666",4.16449,0.731618,"0.20797","0.00291072",NA,NA,"LC","Non-Volatile"
